"timestamp","game","players","kills","headshots","servers","act_slots","max_slots"
1704539416,tf,87291,1476325,89873,5,4,125
1704539415,tf,87291,1476325,89873,5,4,125
1704539357,tf,87291,1476325,89873,5,3,125
1704539132,tf,87291,1476325,89873,5,3,125
1704539115,tf,87291,1476325,89873,5,5,125
1704539115,tf,87291,1476325,89873,5,5,125
1704539115,tf,87291,1476325,89873,5,5,125
1704539056,tf,87291,1476325,89873,5,4,125
1704538831,tf,87291,1476325,89873,5,2,125
1704538755,tf,87291,1476325,89873,5,3,125
1704538531,tf,87291,1476325,89873,5,4,125
1704538524,tf,87291,1476325,89873,5,4,125
1704538525,tf,87291,1476325,89873,5,5,125
1704538524,tf,87291,1476325,89873,5,5,125
1704538455,tf,87291,1476325,89873,5,4,125
1704538230,tf,87291,1476325,89873,5,4,125
1704538223,tf,87291,1476325,89873,5,5,125
1704538225,tf,87291,1476325,89873,5,5,125
1704538223,tf,87291,1476325,89873,5,5,125
1704538154,tf,87291,1476325,89873,5,4,125
1704537929,tf,87291,1476325,89873,5,5,125
1704537922,tf,87291,1476325,89873,5,4,125
1704537922,tf,87291,1476325,89873,5,4,125
1704537922,tf,87291,1476325,89873,5,3,125
1704537853,tf,87291,1476325,89873,5,3,125
1704537629,tf,87291,1476325,89873,5,4,125
1704537622,tf,87291,1476325,89873,5,5,125
1704537622,tf,87291,1476325,89873,5,5,125
1704537621,tf,87291,1476325,89873,5,5,125
1704537553,tf,87291,1476325,89873,5,5,125
1704537328,tf,87291,1476325,89873,5,4,125
1704537321,tf,87291,1476325,89873,5,4,125
1704537321,tf,87291,1476325,89873,5,4,125
1704537321,tf,87291,1476325,89873,5,4,125
1704537252,tf,87291,1476325,89873,5,4,125
1704537027,tf,87291,1476325,89873,5,2,125
1704536951,tf,87291,1476325,89873,5,4,125
1704536726,tf,87291,1476325,89873,5,4,125
1704536726,tf,87291,1476325,89873,5,4,125
1704536722,tf,87291,1476325,89873,5,4,125
1704536720,tf,87291,1476325,89873,5,4,125
1704536651,tf,87291,1476325,89873,5,5,125
1704536426,tf,87291,1476325,89873,5,3,125
1704536424,tf,87291,1476325,89873,5,4,125
1704536421,tf,87291,1476325,89873,5,4,125
1704536419,tf,87291,1476325,89873,5,4,125
1704536350,tf,87291,1476325,89873,5,5,125
1704536125,tf,87291,1476325,89873,5,3,125
1704536124,tf,87291,1476325,89873,5,4,125
